filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	09df8de8-de1f-4653-9103-d886dc9fcb74	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	221	84.891251	2.354250	1883	FALSE	85.028748	1773	2.216750	700	6.212692	0.000000	88.555344	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	a8a28682-73d5-488d-8658-cd2334c2d92a	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	184	114.518753	1.683250	1346	TRUE	114.706253	1196	1.495750	531	9.586523	0.000000	82.513557	10.875214
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	a0e0b871-2a1e-4a0b-af90-aea6ea97665c	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	14	122.660500	3.705750	2964	TRUE	122.764252	2881	3.602000	1393	10.090424	0.000000	85.966003	10.529976
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	bd1c5db6-1ecc-4c2b-85f0-7c5636a1b0e3	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	377	133.535004	0.793250	634	TRUE	133.641251	549	0.687000	300	8.540081	0.000000	83.204048	8.803749
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	ebb612aa-852c-4494-b493-451156853683	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	85	67.714249	0.796250	637	TRUE	67.754250	605	0.756250	265	10.148811	0.000000	81.132576	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	1426b68d-7a13-453e-8d36-e9ede3992df9	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	87	127.930496	5.733000	4586	TRUE	127.962997	4560	5.700500	2398	10.617172	0.000000	83.031425	10.529968
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	20ed0c5b-9e06-4123-9e11-624bcabbff2e	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	92	60.613998	0.832250	665	TRUE	60.642750	642	0.803500	277	10.620464	0.000000	83.204048	10.184723
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	147a13c4-a66e-48b9-89e6-64661f63df0e	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	500	38.423500	0.818500	654	TRUE	38.521000	576	0.721000	324	10.080367	0.000000	84.239784	9.494232
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	06d0c654-1e3e-49c6-ae81-a6d6416a2425	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	434	41.365250	3.857250	3085	TRUE	41.417751	3043	3.804750	1381	10.818515	0.000000	82.858803	11.220459
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	4c19a89d-1522-4b8c-8232-49832a740bf0	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	475	11.330000	1.940750	1552	TRUE	11.763750	1205	1.507000	597	10.371289	0.000000	85.102890	11.393082
